Please Verify Signer Key,SIP Vote Choice,Vote Hash,Signer Entity Name
034df3feda207a1cd4f31ae2b58f136a0d382d23419ef8d06569fa538202ba8aed,Yes,014959b57f14e0ac5c1e5e9544f77149508585ba7f5555445c789a17f242f562c5141636b82eb977e79ef8872e2c51a8458e4e60d0c0f974dd54466c28a5424ecd,Chorus One
02b20a0603a409270d4421d89a831e8f7b2fa7c5f2d8872d7aa94737334d10c194,Yes,014ae940f533560c03f3c035c260e08911a6c9fe0ced596cd9c8a4a381ad92104b087e9de3fa39d7f3877120681820e7bacbe0f28a6217bde66f0134da39c08c1c,luxor-stacks-signer
e076e4d2e24f,Yes,017019bcba419b6c825cf54992cc28f513f58e121a6c8ef496fdb3f0056b52b6306cb33d75d9619b2172c4e5c4524a26c1e635c6c194acae0702ebdef93b165e0d,Stacking DAO
02c54d8b1ba4b7207f78f861c60f8a67433c264a11ac9b6b7773476e9f6c008e49,Yes,0128f2e99304106a322f3ea54f71fc3a9f5b9d33bf6c4565bd4efaa6ab74b4e4f25231a9a2cb773f2e1b74eddd27a40fdc2d38beb3edba4e1f05ddb9add7854996,InfStones
0215245613e31de2ec2e7f2c4facb45724be2e49d9d42abb0a5e571322593b36bf,Yes,01dcbc8aacb7777435340a1f634e36a54751f6436e341ae790a0b48fcb6a130c5a5392fc4a267df006143fbd6c38a4f163faf60f7e99a2d79794cc44f626b78d3a,Kiln*
039dc5297b92c1f6b48f4a68e180b853ff6e8188fb78422652a90b8fe14941adce,Yes,012ac5c792ee205fb359ed3062d0e52ae907a37ff1195f0aaf215902c7f9aab54979a99b2f0269264054ef9314c09375eec45c4909f6657315811d31786a6fb1e5,Kiln
02254a34747123978819f2a90506f76cb057fe3fbff6d8721a0d9cf8e9412d0e60,Yes,0024e00247214e8184631ce78f2990f269b06801e87ce88d764f3fb1f1ec0fda0c657dd028522cd8406bd1200cf3eae90f4ab517951ab816cf290806539237b061,Chorus One
03cef32afac202346ac76a28e81e77ed497c3f22ce20ac54b496950b4ef0b74b2e,Yes,01ab8beeb22bd4db2b34c90c17b313d1774fed3458808548b0c81425c9dc7ad1390234239a302e7144c07006b1dafd13616d6ca68c9fcb0962cda4dc016caaa040,Staking Defense League
03a541c1ec2cfb32da48cfadf439c9b2f27d166bbffa18a178c7a6a0d54cfa7813,Yes,01f4f9ad555cdbfcf7b1a77a3ea9291103bc936d137c2e4624ac7e80b4f31cf41e079abc3bbc79f8daaaffadaf2e6c8d49215f761db2d053ac7587a376fc4121a5,Blockdaemon
03e0df37e83e43847625a0320456cb9758050a61ce76c2c130bf50242f27ba6d54,Yes,012223040a6a808515956a509a4b44e656e6fab0f9e788c6eff14ff66274086f481ad1094f3ddd1c558f586acc31c15943ab294857bbe859987520522874e91cb1,Alum Labs
03ed732eab6b99b90315f9b58ce9c3e2d1991bc4e9cfa59841535c0ef7dbba38e0,Yes,013a514ea2da121cac2a81e5881eedcee1a2aeceb89b8a0bc539627928c3f5e8bb7f76eb82ce6c8dd229fb173087b5dfe45c57dee01e08acd62dd40dcc4a2d953a,Planbetter Pool
03fb8ad634c6cd072a5dfb0a3b237e3134cfee64b2adb8246c168bb4f6b0aa220c,Yes,01284bf5da25407e672e0bcce293c1844d4e3b287982f9f1de39ee47cbf7d406b33545eb9ca46cbbb2ec9035c5d6aefd51b16f4dd9bf77984f2f47c7d6e7b292ef,
029e1245f007bd8f76d5ce67e759acd21f8b0f2538a80713468f7524bf3fff6136,Yes,017c8aa1b486b5c5ee0a49d05ce993649696624a83293599a1ede5443f1bf8ba4d7791ccd227336b20e40804cd619ac1fb176bc6bcfcd30f1f58ca809d84b61837,Luganodes
0321129d7a3e14cce66abef68b9a3d31d998f14e9a18b09d66aa1110fc604a3b1f,Yes,0170ef0c17704a69b65440778b36aeb347860457077a07da9dd1f60698bc6d36c240d6f39181ac897d9c9d35b4d6601694187ecb14a49d66c9811363dd95204eef,
03cc1da6f6235699284987f7d3a98a950b0c693cdbed87ab33c04f61e2dfb6a177,Yes,01612e9945ec7731a40f906781076dab396508da714f641045c1dd24d009a4d1370412073a2f44ff828a4f72728df50a6370626956d4f1c6fe538595d9c316cdfb,Despread
023d6ecdc36fa1e1c6a9f116c7f13ae843001ed9d617f66f6c68cabf751bf82555,Yes,00231bfd8c638cf3f7eb9ef92cf4742e7c352c3b328c45606f1588de9a0ec8c577532326710d61e2b413014e172feb59192c5848fa4974f000b5402ad9236e1f5a,Fast Pool
024f164c6e73df283d34d7d9cc86553a82dce76045ba7dfbf4de0004f89eabb8e0,Yes,0103258e9590279cf9c6d9b711f1cb78938b6220c89ca984af7a9ac57681437c197d47d37914b67babd862160c2868990d7dcc24e822de686150087a94ccedcca9,SenseiNode
0244869db071d334ff8e5cd94956ae7b60a4abd41f83f3c9d66ab314718151d94d,Yes,00c7468ed99e8f67e3bc95ab04d4228df05b4c48a1c776996e1eaa767e432e614a0ce4f4c7a667c59d042fb1863e01f9a1a073a0bbca0db2c359e8cb6ed72cb352,Restake
0284df4505c6318a0017a7848aa0a95bf8cd3db697a89d2ec1978a027bece770ef,Yes,007efbe5ff9022e9cd8eb5f51c1b9b026392d26cc6883eaaba29c472b0e01f09436d59c4ea428fe49a059380caf9f468cc0cb90b406e32bd1885058053824d0380,Degen Lab
0303144ba518fe7a0fb56a8a7d488f950307a4330f146e1e1458fc63fb33defe96,Yes,0112b2bd6204e543ca5c88036311f62273674cf677a80db1c484c4d1ade3fd4e16219cc8fc12bcdae725d9c0afeb5cb7f0086d7d7bbf48347531a5f967b67170db,
